nome_algoritmo,cenario,tamanho_amostra,tempo_execucao_microsegundos,id_hardware,processador,ram,sistema_operacional,Intervalos de confiança,Média,Desvio padrão
Quick Sort,4,500000,207,4,AMD Ryzen 7 5000,8,Windows 11,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,896,4,AMD Ryzen 7 5000,8,Windows 11,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,42,4,AMD Ryzen 7 5000,8,Windows 11,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4370,4,AMD Ryzen 7 5000,8,Windows 11,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,22,4,AMD Ryzen 7 5000,8,Windows 11,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,108352,4,AMD Ryzen 7 5000,8,Windows 11,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,12,4,AMD Ryzen 7 5000,8,Windows 11,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,30,4,AMD Ryzen 7 5000,8,Windows 11,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,5,4,AMD Ryzen 7 5000,8,Windows 11,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2927,4,AMD Ryzen 7 5000,8,Windows 11,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,44,4,AMD Ryzen 7 5000,8,Windows 11,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,78050,4,AMD Ryzen 7 5000,8,Windows 11,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,18,4,AMD Ryzen 7 5000,8,Windows 11,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,21,4,AMD Ryzen 7 5000,8,Windows 11,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,7,4,AMD Ryzen 7 5000,8,Windows 11,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,12,4,AMD Ryzen 7 5000,8,Windows 11,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,68,4,AMD Ryzen 7 5000,8,Windows 11,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,35,4,AMD Ryzen 7 5000,8,Windows 11,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,68,4,AMD Ryzen 7 5000,8,Windows 11,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,3,4,AMD Ryzen 7 5000,8,Windows 11,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,32,4,AMD Ryzen 7 5000,8,Windows 11,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,25,4,AMD Ryzen 7 5000,8,Windows 11,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,88,4,AMD Ryzen 7 5000,8,Windows 11,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,260,4,AMD Ryzen 7 5000,8,Windows 11,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,206,4,AMD Ryzen 7 5000,8,Windows 11,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,892,4,AMD Ryzen 7 5000,8,Windows 11,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,43,4,AMD Ryzen 7 5000,8,Windows 11,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4420,4,AMD Ryzen 7 5000,8,Windows 11,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,51,4,AMD Ryzen 7 5000,8,Windows 11,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,110740,4,AMD Ryzen 7 5000,8,Windows 11,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,13,4,AMD Ryzen 7 5000,8,Windows 11,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,32,4,AMD Ryzen 7 5000,8,Windows 11,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,6,4,AMD Ryzen 7 5000,8,Windows 11,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2970,4,AMD Ryzen 7 5000,8,Windows 11,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,36,4,AMD Ryzen 7 5000,8,Windows 11,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,77868,4,AMD Ryzen 7 5000,8,Windows 11,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,16,4,AMD Ryzen 7 5000,8,Windows 11,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,40,4,AMD Ryzen 7 5000,8,Windows 11,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,4,AMD Ryzen 7 5000,8,Windows 11,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,12,4,AMD Ryzen 7 5000,8,Windows 11,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,55,4,AMD Ryzen 7 5000,8,Windows 11,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,35,4,AMD Ryzen 7 5000,8,Windows 11,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,69,4,AMD Ryzen 7 5000,8,Windows 11,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,4,4,AMD Ryzen 7 5000,8,Windows 11,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,32,4,AMD Ryzen 7 5000,8,Windows 11,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,26,4,AMD Ryzen 7 5000,8,Windows 11,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,83,4,AMD Ryzen 7 5000,8,Windows 11,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,299,4,AMD Ryzen 7 5000,8,Windows 11,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,231,4,AMD Ryzen 7 5000,8,Windows 11,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,847,4,AMD Ryzen 7 5000,8,Windows 11,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,45,4,AMD Ryzen 7 5000,8,Windows 11,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4319,4,AMD Ryzen 7 5000,8,Windows 11,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,23,4,AMD Ryzen 7 5000,8,Windows 11,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,110322,4,AMD Ryzen 7 5000,8,Windows 11,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,13,4,AMD Ryzen 7 5000,8,Windows 11,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,30,4,AMD Ryzen 7 5000,8,Windows 11,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2915,4,AMD Ryzen 7 5000,8,Windows 11,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,3,4,AMD Ryzen 7 5000,8,Windows 11,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,55,4,AMD Ryzen 7 5000,8,Windows 11,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,73938,4,AMD Ryzen 7 5000,8,Windows 11,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,18,4,AMD Ryzen 7 5000,8,Windows 11,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,9,4,AMD Ryzen 7 5000,8,Windows 11,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,4,AMD Ryzen 7 5000,8,Windows 11,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,12,4,AMD Ryzen 7 5000,8,Windows 11,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,88,4,AMD Ryzen 7 5000,8,Windows 11,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,38,4,AMD Ryzen 7 5000,8,Windows 11,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,67,4,AMD Ryzen 7 5000,8,Windows 11,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,3,4,AMD Ryzen 7 5000,8,Windows 11,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,28,4,AMD Ryzen 7 5000,8,Windows 11,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,24,4,AMD Ryzen 7 5000,8,Windows 11,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,93,4,AMD Ryzen 7 5000,8,Windows 11,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,314,4,AMD Ryzen 7 5000,8,Windows 11,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,280,4,AMD Ryzen 7 5000,8,Windows 11,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,895,4,AMD Ryzen 7 5000,8,Windows 11,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,45,4,AMD Ryzen 7 5000,8,Windows 11,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,8,4,AMD Ryzen 7 5000,8,Windows 11,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4336,4,AMD Ryzen 7 5000,8,Windows 11,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,23,4,AMD Ryzen 7 5000,8,Windows 11,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,108134,4,AMD Ryzen 7 5000,8,Windows 11,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,12,4,AMD Ryzen 7 5000,8,Windows 11,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,30,4,AMD Ryzen 7 5000,8,Windows 11,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2951,4,AMD Ryzen 7 5000,8,Windows 11,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,3,4,AMD Ryzen 7 5000,8,Windows 11,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,53,4,AMD Ryzen 7 5000,8,Windows 11,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,73659,4,AMD Ryzen 7 5000,8,Windows 11,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,17,4,AMD Ryzen 7 5000,8,Windows 11,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,12,4,AMD Ryzen 7 5000,8,Windows 11,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,7,4,AMD Ryzen 7 5000,8,Windows 11,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,12,4,AMD Ryzen 7 5000,8,Windows 11,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,80,4,AMD Ryzen 7 5000,8,Windows 11,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,38,4,AMD Ryzen 7 5000,8,Windows 11,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,69,4,AMD Ryzen 7 5000,8,Windows 11,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,4,4,AMD Ryzen 7 5000,8,Windows 11,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,48,4,AMD Ryzen 7 5000,8,Windows 11,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,40,4,AMD Ryzen 7 5000,8,Windows 11,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,93,4,AMD Ryzen 7 5000,8,Windows 11,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,281,4,AMD Ryzen 7 5000,8,Windows 11,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,221,4,AMD Ryzen 7 5000,8,Windows 11,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,836,4,AMD Ryzen 7 5000,8,Windows 11,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,43,4,AMD Ryzen 7 5000,8,Windows 11,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4340,4,AMD Ryzen 7 5000,8,Windows 11,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,3,4,AMD Ryzen 7 5000,8,Windows 11,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,37,4,AMD Ryzen 7 5000,8,Windows 11,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,109173,4,AMD Ryzen 7 5000,8,Windows 11,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,12,4,AMD Ryzen 7 5000,8,Windows 11,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,30,4,AMD Ryzen 7 5000,8,Windows 11,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2944,4,AMD Ryzen 7 5000,8,Windows 11,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,3,4,AMD Ryzen 7 5000,8,Windows 11,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,38,4,AMD Ryzen 7 5000,8,Windows 11,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,74153,4,AMD Ryzen 7 5000,8,Windows 11,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,17,4,AMD Ryzen 7 5000,8,Windows 11,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,9,4,AMD Ryzen 7 5000,8,Windows 11,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,4,AMD Ryzen 7 5000,8,Windows 11,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,11,4,AMD Ryzen 7 5000,8,Windows 11,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,107,4,AMD Ryzen 7 5000,8,Windows 11,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,37,4,AMD Ryzen 7 5000,8,Windows 11,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,69,4,AMD Ryzen 7 5000,8,Windows 11,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,3,4,AMD Ryzen 7 5000,8,Windows 11,1.756 a 2.728,2.242,2.736
Quick Sort,4,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,1.362 a 1.912,1.637,1.548
Shell Sort,4,10000,3,4,AMD Ryzen 7 5000,8,Windows 11,2.767 a 3.814,3.29,2.943
Merge Sort,4,100000,30,4,AMD Ryzen 7 5000,8,Windows 11,29.3 a 31.555,30.427,6.343
Quick Sort,4,100000,26,4,AMD Ryzen 7 5000,8,Windows 11,23.281 a 24.993,24.137,4.816
Shell Sort,4,100000,87,4,AMD Ryzen 7 5000,8,Windows 11,74.008 a 79.654,76.831,15.881
Merge Sort,4,500000,323,4,AMD Ryzen 7 5000,8,Windows 11,242.235 a 254.184,248.21,33.611
Quick Sort,4,500000,217,4,AMD Ryzen 7 5000,8,Windows 11,193.577 a 202.44,198.008,24.93
Shell Sort,4,500000,884,4,AMD Ryzen 7 5000,8,Windows 11,800.783 a 825.297,813.04,68.952
Merge Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.047 a 1.761,0.904,4.843
Quick Sort,1,10000,43,4,AMD Ryzen 7 5000,8,Windows 11,43.025 a 47.071,45.048,11.426
Shell Sort,1,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.131 a 0.445,0.288,0.887
Merge Sort,1,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,5.425 a 8.399,6.912,8.398
Quick Sort,1,100000,4342,4,AMD Ryzen 7 5000,8,Windows 11,4190.951 a 4626.713,4408.832,1230.745
Shell Sort,1,100000,3,4,AMD Ryzen 7 5000,8,Windows 11,1.885 a 2.531,2.208,1.824
Merge Sort,1,500000,57,4,AMD Ryzen 7 5000,8,Windows 11,33.108 a 36.748,34.928,10.279
Quick Sort,1,500000,108042,4,AMD Ryzen 7 5000,8,Windows 11,103651.468 a 114622.9,109137.184,30987.111
Shell Sort,1,500000,13,4,AMD Ryzen 7 5000,8,Windows 11,9.867 a 11.653,10.76,5.042
Merge Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.281 a 0.999,0.64,2.03
Quick Sort,2,10000,30,4,AMD Ryzen 7 5000,8,Windows 11,27.474 a 31.886,29.68,12.462
Shell Sort,2,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.232 a 0.568,0.4,0.95
Merge Sort,2,100000,4,4,AMD Ryzen 7 5000,8,Windows 11,4.084 a 5.516,4.8,4.046
Quick Sort,2,100000,2991,4,AMD Ryzen 7 5000,8,Windows 11,2701.854 a 2823.026,2762.44,342.233
Shell Sort,2,100000,3,4,AMD Ryzen 7 5000,8,Windows 11,2.781 a 3.363,3.072,1.642
Merge Sort,2,500000,43,4,AMD Ryzen 7 5000,8,Windows 11,35.566 a 41.362,38.464,16.37
Quick Sort,2,500000,74588,4,AMD Ryzen 7 5000,8,Windows 11,66285.777 a 69190.239,67738.008,8169.672
Shell Sort,2,500000,17,4,AMD Ryzen 7 5000,8,Windows 11,14.147 a 15.595,14.871,4.072
Merge Sort,3,10000,0,4,AMD Ryzen 7 5000,8,Windows 11,0.728 a 1.256,0.992,1.484
Quick Sort,3,10000,2,4,AMD Ryzen 7 5000,8,Windows 11,0.487 a 0.722,0.605,0.66
Shell Sort,3,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,0.694 a 0.951,0.823,0.722
Merge Sort,3,100000,9,4,AMD Ryzen 7 5000,8,Windows 11,9.315 a 11.089,10.202,4.989
Quick Sort,3,100000,6,4,AMD Ryzen 7 5000,8,Windows 11,5.786 a 6.956,6.371,3.289
Shell Sort,3,100000,12,4,AMD Ryzen 7 5000,8,Windows 11,10.85 a 11.908,11.379,2.976
Merge Sort,3,500000,67,4,AMD Ryzen 7 5000,8,Windows 11,69.488 a 73.657,71.573,11.727
Quick Sort,3,500000,38,4,AMD Ryzen 7 5000,8,Windows 11,33.98 a 35.536,34.758,4.375
Shell Sort,3,500000,67,4,AMD Ryzen 7 5000,8,Windows 11,63.914 a 66.199,65.056,6.428
Merge Sort,4,10000,1,4,AMD Ryzen 7 5000,8,Windows 11,1.756 a 2.728,2.242,2.736
